,아이디,댓글 내용
1695,  쿠쿠쿠크르,해은은 이미 스며들고 있음...솔직히 규민이만 눈앞에 없었어도 진작에 넘어갔음 ㅠㅠㅠ나가서도 꾸준히 들이대면 해은이가 현규보다 더 좋아할 거 같아
1696,  청순핑크,저렇게 단호하고 절대 흔들리지 않으면서 오해 생기지 않게 확실히 표현해주는것~ 멘탈 약한 해은에게 꼭꼭 필요한 남자다~!!!제발 해은이 현규의 진가를 알아봤음 좋겠는데~분명 해은 인생에도 도움이 되는 남자가 될거같다~!!!
1697,  꽃보다송강,지연금쪽이 팩폭해주고 지칠만도 한데 해은이한테가서 더 힘들겠다 했는데 오히려 해은이랑 대화하며 괜찮아진 헝구박사님 저도 헝구박사님하고 얘기하고 싶어요 정신체크해주세요 ㅋㅋㅋ
1698,  루마니얀데드리프트,환승연애의 주인공은 현규였다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대박이다
1699,  인프제,갓벽하다...갓현규....
1700,  성이름,헝구야. 너무 멋있다
1701,  양지영,현규 진짜 남자 너무 멋잇당♡
1702,  SY Queen,현규   헝구 최고다진짜   진짜 너무  해은이랑 잘되자
1703,  동딩동댕,헝구 부모님 육아책 하나 내야 됨
1704,  이지,이용진님 말 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남잔데 겁나 공감되서 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ
1705,  펭,진짜 미친놈이다....(좋은 의미) 진짜 현실에 존재하는 사람 맞나요...?
1706,  1억,제발 정규민 그만 버리고 귀인 꽉 잡자 해은아 
1707,  알수없음,"해은, 현규같은 완벽녀 완벽남이 존재하긴 하구나...."
1708,  수나리,해은쳐다보는 눈빛이 진짜..
1709,  소영 진,현규 해은 끝까지 함께가라~~보기좋아^^
1710,  아이가릿,0:15 에 손잡은거 아님…..? 미치겠다 너무 설렌다 심장이 너무 요상하게 요동친다
1711,  김희선,해은씨ㅜㅜ엉엉 행복해 사랑해여
1712,  봄,현규님 진짜 진짜 설레요^^
1713,  pnm,이용진 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1714,  bullybully,어떻게 저렇게 완벽한 남자일 수 있어
1715,  ??,1:13 현규 입삐쭉거리는거ㅋㅋㅋㅋㅋ
1716,  wubie,진짜 현규 어머님한테 태교 방법 전수받고 싶음.
1717,  빵지네일상,현규 여기서 되게 힘들거같음....지연 진짜 대박
1718,  cooingly,완전 무례하고 자기 중심적이고 개념 없는 지연이 참교육 할때 정말 너무 사이다라 소리지름 ㅋㅋ 해은아 이제 규민타령 그만하쟈ㅜㅜㅜ제발ㅠㅜㅜㅜ와 우는거 보는것도 이제 너무 지침
1719,  lyo,진짜 복잡하지가않고 확실한사람이구나
1720,  육식하다걸린판다,후아후아... 너무 멋있잖아.. 현규..너어..지짜 짱이다.
1721,  iwghhh,현규는 이랬는데 마지막 진실게임에서 해은때문에 너무 답답해서..하 너무 공감이 되면서도 안쓰럽고 답답했음 ㅠ 옆에 이렇게 한사람만 바라보고 기다려주는 벤츠남이 있는데!! 왜 아직도 갈팡질팡하는거야아ㅠ x데이트때 젭알 맘정리 다 돼서 현규한테 가자 ㅠㅠ
1722,  또또또히TV,오도방정 떨면서봤네 아 설레ㅜㅜ
1723,  얌야미야미,헝거야 ㅜㅠㅜ개멋있다 ㅠㅠ
1724,  ㅇㅇㅇ,지연이땜에 개빡쳐있으면 현규가 나까지 풀어줌….. 현규해은 응원해영원해…ㅠㅠㅠㅠㅠ
1725,  냥춘이,진짜 멋지다 해은언니랑 제발 잘되길??
1726,  동글동글,제목이 헝구 인게 너므 귀여워ㅠㅠㅠ 꺅
1727,  론멜,아진짜 현규씨… 이런남자 어딨냐…
1728,  댕댕업,나언이 두 사람 챙기는거 봐 ㅠㅠ 흑 난 나언이 제일 좋아 세상 제일 멋진 사람 곧 티비에서 나언 변호사님이 되서 엄청 나오실듯
1729,  :D,의자왕 얘기할 때 왜 당연하다고 얘기한거야 해은ㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1730,  only 1,현규야 무섭게 설렌다
1731,  담비,환승연애 정말 팬인데 담주가 별로 기대가 안됩니다 .. ㅎㅎ그냥 이제는 결말을 알고싶어요 ....
1732,  뀨잉TV,진짜 멋있어....
1733,  행복,제발 둘이 결혼해!!!!!!!!!
1734,  MH L,지연이는 볼때마다 빌런같다 진짜ㅋㅋㅋ
1735,  말자,그나저나 담주까지 어케기다려 또ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
1736,  지구,진짜 키갈 참느라 수고했단 말밖엔............... ㅜ
1737,  노윤솔,7년의 사랑은 추억으로 남겨두고 새로운 사랑을 해두되는데 다시 만나도 또 반복되기만할뿐 아픈기억만 더 쌓는거니....뭘해도 이쁘다 해주고 챙겨주고 흔들리지 않는 마음을  표현하고있는  현규를 만나서 새로운 사랑을 시작하는게 시간을 아끼는거라 생각이 드네요~ 청춘을...젊음을  눈물과상처로 더 이상 보내지말기를 웃는 얼굴 미소가 예쁜 해은현수
1738,  박디브이,겨울현유 여름현규ㅋㅋㅋ 현현 다해라♡
1739,  ddami,해은 현규....? 우결 찍워죠ㅠㅠㅠㅠㅠ
1740,  메론,현규 자리가 마주보고 있다가 급 해은 옆 구석지로 바껴있는거 왜 아무도 안궁금해요 중간에 왜 짤랐어 제작진 모야모야모야아
1741,  biff,으악 헝구야 누나 심장아퍼
1742,  오히려좋아,미쳤다 진짜 헝구 나는 개인적으로 김현우룰 뛰어넘었음 사랑해 헝구 오늘부터 내 이상형 헝구야
1743,  Bea,와 진짜…….. 저런남자 또 없냐..?! 제발 ㅋㅋㅋㅋㅋ
1744,  gogo,해은  현규 만나면  자존감  엄청 올라갈듯^^
1745,  Anna,몰라몰라 손잡으면 사귀는거야 둘이 사귀어 제발ㅠㅠ
1746,  뫄뫄딸기,해은 현규 너무 잘 어울린당 ㅋㅋㅋㅋㅋㅋ 근데 내가 썸녀랑 대화 중에 전여친이 문 열고 들어온다 생각하니까 개아찔함… 출연자들 강심장이다 진짜
1747,  차차라추추,근데 저래놓고 진실게임 내내 해은은 규민을 향해있었음 ㅠㅠㅠㅠㅠㅠㅠ
1748,  맑음??,올려주셔서 감사합니다 헝구해은 뽀레붜~~~~~
1749,  뉴진스,와 깜깜할때 들어가서 날이 밝은거구나 그래서 나언이 잠깐 체크하러 왔나보군....
1750,  만두만바라봐,이제 언니만 확신 주면 되ㅠㅠㅠ
1751,  selene,해은 누나 불러야하니까 말 끝나자마자 뽀뽀가 뭐야 키스날림...어캐참냐고 기특한데
1752,  Lei 6v6,Hae eun and Hyung Gyu please end game  for your happiness unnie choose Hyung Gyu 
1753,  ㅇㅇ,나는 해은이 믿어 귀여운거 좋아한다며 해은아 이렇게 귀여운 남성 다신 없다
1754,  해파리,나언씨 귀엽다...
1755,  Choonlythreeletters,와 진짜 설렌다.....
1756,  Ima,진짜 결혼감이야 …
1757,  감미로운,진국이야. 진하다 진해 현규♡
1758,  뿡수이,"신이시여 왜 저에게 해은과 현규를 알게 하셔서,,,,,,,??"
1759,  러키,현규씨 진짜   멋진 남자네의사소통도 잘하고 해은씨 현규씨 잡아요
1760,  동글,나 같았으면 나도 모르게 뽀뽀 갈겼을 듯..미쳤어 진짜..어떻게 그래요?<<ㅋㅋ 해은이 말 백번 천번 이해감 ㄱㅇㅇ..
1761,  소중한일상,없다고 그럴일은..이 말할때 목소리 무슨일이에요 현규찡??숨멎 설렜자나효 >.<
1762,  마인드 굿TV,현규야.. 내가 사람을 이리 잘본다.. 진짜 넌 최고야 어머님이 누구시니!! 감동
1763,  Claire Liu,海恩似乎心裡還有點不確定…..，?似乎對太帥的男生會沒安全感，但是?的希望?能再勇敢一次，兩位如果配對成功…海外的我們這群觀?會開香檳慶祝貼文祝福支持??
1764,  말티쥬양 미녀쿠??,헝구 멌있어 뭔가 현규 만나면 건강한 연애 할수 있을꺼 같다
1765,  ???,헝구 사랑해..
1766,  이영상이삶의낙입니다,너무 좋아 어떡해...
1767,  하도나,진짜 얼마나 자존감 높으면 이렇게 행동할수 있지? 이런사람과 연애 못해본 내 20대가 슬프고 ...아들을 우찌 키우면 이리 멋지게 크는지 진심 궁금
1768,  치즈조아,아 제발 그냥 해은이 현규해줘 제발 제발 진짜 제발
1769,  뚜기 Dduki,"진짜 완벽하다 진짜 … 복제해줘 제발 … 해은 언니만 꼬시지 왜 다 꼬시냐고 하 ,,,"
1770,  0,부럽다 해은이 행복해라
1771,  로지밍rozyming,최고다 징짜..헝구 짱 ㅠㅠ
1772,  P,안되겠다 이거는 무조건 현규랑 평생 해야해 해은현규 평생가자.
1773,  luck 3,진짜 성숙한 사람이다..2:21 손끝 살짝 건드는것도 개미친거같음
1774,  금빛잉어,와 현규는 여지안주고 직진이다 개좋네
1775,  정하진,헝구 최고 !!
1776,  모차르트박,여기 앉혀놨다 보냈어! 불러서 딱얘기했어! 와 진짜 오은영쌤이야 ㅋㅋㅋ
1777,  휴우,해은 현규 로코 드라마 주인공 아니냐고..ㅠㅠ 둘이 아쉬우니깐 우결 한편 찍어줘
1778,  Zav Kim,진짜멋있어………
1779,  이은하,현규~짱 믓찐~ 머선 일이대요. 해은이에게 믿음을  딱~!주는  상남자
1780,  키키,헝구 이 쉨.. 멋있는 쉑..
1781,  장민호님 편,현규 너란 남자 . . . 정말 찐이다 ♡♡♡
1782,  유은지,헝구.. 개멋저…
1783,  유온 U ON,의자왕인줄알았어?ㅋㅋㅋ잠을못자게하네 너무심심하고 밥먹을사람도없었대ㅜㅜ
1784,  비공개,내가 다 설레..내가 다 미치겠다고!
1785,  요섭스럽게,와 진짜~ 설렘
1786,  bflat,아 행동하는거 진짜 교과서다.금쪽이 참교육 굿
1787,  엠제,지금 일하느라 못보고 있는데 감사해요 진짜
1788,  머라해야될까...머라이어캐리?,해은웅니 한정 바보.. 너무 설레잖음
1789,  애플민트,얼굴도 이쁘고 마음도 이쁜 현규네형규가 현규 했다^^
1790,  빛과소금,헝거야..진짜 뭐니..아 너무설레자나!!!!!!
1791,  우혜승,다 내꺼야(신발)..이라고 얘기한부분도이유는 모르겠지만 넘 좋음..
1792,  정유진,해은 현규 놓치면 티빙 앞에서 1인 시위 갑니다ㅜㅜㅜㅜ
1793,  그럴수도있어,너무좋아현규
1794,  뚱쓰뚱쓰,어찌저리 잘컷을까요ㅠㅠ
1795,  닉네임,해은ㅇㅣ이런  남자 첨만나봐서 당연히 지연이랑 놀거라고 생각한게ㅠㅠㅠ
1796,  바이올렛,너무너무 멋잇어 현규님 멋잇고 해은님 속마음 솔직히 표현해서 오해푸는 자연스러움도 멋지고 ㅡ 속마음을 뱅뱅 돌려가면서 재기만 하고 그런 사람보다 만배는 멋진사람들인거같아요
1797,  김mina,현규 모든여자들이 좋아할 근성을 가지고있네 또한번놀람
1798,  손님,연애리얼리티에서 보기드문 두사람한사람만 보는 해은과한사람만 보는 현규특히 현규는 오늘 딱 느낌!!!인간계에서도 드문 사람이라는걸
1799,  권순영 약혼녀,와 현규 진짜 ..... 관심 없는 여자한테 여지없이 그냥 딱 끊어 말해버리고 자기가 관심가고 호감 있는 여자한텐 오해하지 않게 바로 불러다가 딱 말해주네 .... 제발 해은이도 마음 딱 정했으면 좋겠다 ㅠㅠㅠㅠㅠㅠ 현규 진짜 .. 여자가 안좋아할래야 안좋아할 수 없는 타입이다 ... ㄹㅇ 극호감
1800,  왕자님,진짜 현규가 여기 최소 426명 연애쇠포는 깨워줬을듯
1801,  Hyo Jin Park,"헐~ 왜 내가 셀레~~ 어쩜, 저러징~ 현규 팬 될듯~ 넘 멋져. "
1802,  venorina___,현규가 조금만 더 일찍 왔어도 ... 51: 49가 뭐야 그 이상을 차지했을지도 모르는데 너무 아쉽다
1803,  엘리,해은이 나중에 이거보면 엄청 놀랄듯!!!
1804,  임닉네,나는 유교걸이라 그런가 시스템상 어쩔수 없다는걸 알면서도 여러 사람 만나면서 자기 마음 고민하는 이 특수한 상황에 적응이 안 됐는데 해은이한테 노빠꾸 직진하는 현규보고 아... 그래 이게 진짜 진심으로 좋아하는 사람 태도지 싶었음 현규같은 사람 만나고 싶다 나도 현규같은 사람 되고 싶고...
1805,  호호너구리,와 ㅋㅋ지연이랑 대화할때 소름돋았음. 여자라고 봐주는거 없이 참교육 나이스
1806,  진진진진자라,"멋지당 현규,,"
1807,  밸런스,와~진짜 이런 남자가 있다니~ 웹툰 캐릭터 같어~^^ 현규 넘 멋찜~^^
1808,  _또니,핫시2 현우랑 다른급의 메기네 와 진짜 이것이 상메기다 와
1809,  건강관리,헝구야!!!!!!!!!!
1810,  채연,진실게임은 뭔데…..해은아ㅠㅠ
1811,  김연경도가니지킴이,와 체증이 쏴악 내려가넼ㅋㅋㅋ
1812,  suna,연프 사상 최고의 남출 현규
1813,  honeybee,언니 방송을 봐..철벽왕이심~!!!
1814,  양쌤튜브,와 현규
1815,  나또현,진짜 사랑은 사랑으로 잊는거다 ㅠㅠ
1816,  lovely j,와 회차중에 18화가 제일잼있었음
1817,  Ella Choi,똑똑한게 넘사다... 관망하면 수가 다 보이겠다
1818,  자몽자몽,미쳤다 진짜 이거 드라마아니잖아?????
1819,  정빈,아 설레 ..미쳐
1820,  하하하,와 진짜 완벽남이네 말도안돼 내가 모르는세상에 저런남자가...?  ㅜㅜㅜㅠ
1821,  C kiim,하..해은현규 사랑해
1822,  aery yeri,이렇게까지 확신을 줬는데......진실게임에서 .....  헝구를 그렇게 속상하게 하다뉘......
1823,  성이름,기본적인 태도부터가 다름. 같이 앉아도 얼굴을 쭉 빼고 상대방 감정에 공감해줌. 따듯하고 애교부림. 저런 남자 최고지. 근데 맘이 식잖아? 그럼 세상 둘도 없이 차가워짐.
1824,  희동,와 진짜 설렌다..난 해은 누나랑 계속 할거래잖아.. 해은 누나 불러야 하니까 가자고..
1825,  새벽하늘,멋있어. 현규!!!해은아!이런 앨 놓칠꺼여?
1826,  Olivia mama,"현규 현규, 아니, 이렇게 멋있어도 되나요. 믿음직스롭구듬직하구 잘생겼구 아니 하나도 빠지는게 없어유. 내 딸이 커서 이런 남자친구 생기면 정말 감사하겠어유. 그 와중에 나언이도 멋있어. 다 예뻐. 이 40살 아줌마 마음까지 흔들었어유ㅠ ㅠ"
1827,  이면,"혹여  내가 이프로 종방을 보고 실망해도 현규...진짜 내맘에 레전드...나 남자진짜 가볍게 보는데   정말... 심장으로 느끼게 해줘서   ,정말 좋은 여자 만나줘요. 당신의 가치를  정말 아는"
1828,  igotyou,오늘 속 갑갑한데 이거나 반복 돌려야겠다
1829,  탱탱구,와 존나 무해하게 설렘 ㅅㅂ 헝구해은이 나라다..
1830,  박찜콩,해은이 미련좀 거둬줘여 ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ 제발
1831,  두 아들맘의내마음대로 일상,해은씨 만약 현규씨랑 됐음 놓치지말고 서로 많이사랑하길
1832,  늘 고마워,우리 모두 현규 보고 배우자.
1833,  Luna 루나,해은이 20살때 현규 만났으면 결혼까지 갔겠다
1834,  도도애기,나언.현규 참 이쁜 사람들 진짜 큰 사람들이구나~
1835,  ljyd e,현규 굉장하다
1836,  mikael rion,지연이랑은 와인 해은누나랑은 소주네ㅋㅋㅋㅋ 먼가 누나랑은 더 취하고 싶다 라는 느낌
1837,  luculent,이용진 리액션 걍 리터럴리 미
1838,  bbn ni,해은이 제발 한눈팔지 말고ㅠㅠㅠ꽃길로 가길..지팔지꼰이 되면 아니되오
1839,  섭섭,나언이 왜 좋은사람이라고 많이 배웠다고 했는지 알 거 같음~
1840,  림,해은아 너무 잘됐다
1841,  라헬,해은씨 더 예뻐지고 있다. ㅎ
1842,  임려나,헝구야~~~~~~~
1843,  Remember,해은웅니...제발행복해자
1844,  컴예슈,캬.... 현규.... 캬... 자기 여자 확신시켜주는 모습 .... 마치 like  인생 n회차.... 캬 ....
1845,  쪼,1가정 1현규 보급 시급..
1846,  현타기술자,"현규 외모인성+해은에 대한 일관성 너무 좋다다만 내 추측컨데 해은이 성격도 부들부들 너무 착하고 좋은데 규민이에 대한 맘을 확실히 정리 잘 해줬으면 좋겠다 나중에 현규랑 함께 하는 것도 좋고 한데 규민이 때문에 마음이 또 갈팡 질팡 해져버리면 현규 상처 받으니까해은님 우유 부단 스타일 아니죠,,? 제발 ㅜㅜ"
1847,  j b,현규 너무 사람좋다 현규 해은 나언 젤좋아
1848,  Beanstalk,Give me hyunggu right now. I cannot
1849,  푸르매,헝구찌 해은찌 제발♡최커♡현커이길♡정말로 헝구찌 왜저리 멋찐거양ㅋ
1850,  only 1,이 온도차 뭐야지연한텐 저승사자해은이한텐 개냥이
1851,  J SM,내가 의자왕인줄 알았어?이 멘트로 다 끝남~
1852,  Na,개멋있어.......
